date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:09	117/117	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2264179ea7-78%22	https://preppykitchen.com/robots.txt		(from )
18:33:09	283100/283100	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2019:42:53%20GMT	https://preppykitchen.com/	preppykitchen.com/index.html	(from )
18:33:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2002:33:09%20GMT	https://preppykitchen.com/i	preppykitchen.com/i	(from https://preppykitchen.com/)
18:33:10	4991/4991	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2015%20Nov%202024%2002:33:09%20GMT	https://preppykitchen.com/window.location.href	preppykitchen.com/window.location.href	(from https://preppykitchen.com/)
18:33:10	4249/4249	---MCZ	200	added ('OK')	application/javascript	etag:W/%22670698d4-1099%22	https://preppykitchen.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min.js?ver=7.1.0	preppykitchen.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min9d27.js	(from https://preppykitchen.com/)
18:33:10	1564/1564	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226013936d-61c%22	https://preppykitchen.com/wp-content/themes/preppy-kitchen/images/search.svg	preppykitchen.com/wp-content/themes/preppy-kitchen/images/search.svg	(from https://preppykitchen.com/)
18:33:10	26063/26063	---M--	200	added ('OK')	image/jpeg	etag:%225f078251-65cf%22	https://preppykitchen.com/wp-content/uploads/2020/07/Pumpkin-Roll-Cake-Feature-360x495.jpg	preppykitchen.com/wp-content/uploads/2020/07/Pumpkin-Roll-Cake-Feature-360x495.jpg	(from https://preppykitchen.com/)
18:33:11	105460/105460	---M-Z	200	added ('OK')	text/css	etag:%22672b8a26-2507%22	https://preppykitchen.com/wp-content/cache/min/1/wp-content/plugins/social-pug/assets/dist/style-frontend-pro.css?ver=1730906662	preppykitchen.com/wp-content/cache/min/1/wp-content/plugins/social-pug/assets/dist/style-frontend-pro5d2f.css	(from https://preppykitchen.com/)
18:33:11	322872/322872	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2019:57:02%20GMT	https://preppykitchen.com/i-wrote-a-cookbook/	preppykitchen.com/i-wrote-a-cookbook/index.html	(from https://preppykitchen.com/)
18:33:12	662/662	---M--	200	added ('OK')	image/png	etag:%22671910c3-296%22	https://preppykitchen.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	preppykitchen.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://preppykitchen.com/)
